what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343281074494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281107068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281111398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281114729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281115618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281116102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281116885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281122091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281122740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281123211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343281123688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343281138152
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343281139508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281140626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281143060
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343281143192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281144362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281417180
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343281418018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343281442240
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343281443923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281445411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281448076
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343281448208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281450064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281476726
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343281477611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343281771780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306673291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306673384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306680396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306683630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306863522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306866224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343306875024
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343306879178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343306934862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343306938613
