what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331948232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331948512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331948839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331949155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331949442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331950073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331950616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331951220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331951665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331952874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331953886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331955001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331955664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331960299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331961254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343331962310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343331975554
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343331977226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343331980436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343331981335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343331984144
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343331984937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343331990618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332022858
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343332023265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343332086344
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343332089478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343332091666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332092869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332095288
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343332095435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332096796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332129391
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343332130286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343332197336
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343332199122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332200700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332203375
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343332203513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332204796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332210459
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343332211270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332215461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332252341
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343332253515
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343332367565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343332392370
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343332397392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332398533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332401089
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343332401222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332402808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332449826
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343332450288
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343332454010
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343332478771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332486579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332544662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343332574047
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343332576021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332577453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332580426
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343332580560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332582573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343332619100
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343332619382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343332636416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343332638387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343332639951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343332641470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343332642651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343332644809
