what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343337901201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338311885
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343338331538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343338365997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338372491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338376495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338380388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338384989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343338389941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338392516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343338394414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343338396353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338398412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343338400819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338403002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343338405252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338407153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343338489363
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343338491137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338492581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338496276
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343338496440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338500315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338516446
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343338517421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343338524546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343338529966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343338574126
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343338576007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338577901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338580903
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343338581049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343338582503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343341624458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343341629930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343341638625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343341646949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343648213
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343343652973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343668921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343707128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343343711743
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343343720917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343723516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343749654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343343749686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343343749686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343789297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343809032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343343809065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1343343809065
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343343812168
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343343812185
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343343854893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343343871005
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343343875122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1343343878287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343880185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343343883322
