what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343257760950
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343257859530
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343257892568
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343257892848
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343257902481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343258030305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259349710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259354110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259356758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259362851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259364868
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343259370170
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343259374297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259375472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259378271
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343259378375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343259380029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343267437271
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343267441010
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343267511024
