what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343273176533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343273210417
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343273212935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343273316697
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343273319665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343273321917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343273324884
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343273324999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343273326103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343275999310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276006133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276006259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276007766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276017102
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343276036524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276039536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276075718
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276076569
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276091294
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276100913
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276109710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343276158868
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343276160337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276162002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276165173
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343276165299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276166740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276189491
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276190523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343276209188
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343276211220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276212493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276215173
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343276215289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276217276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276245115
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276248226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343276248815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343276249241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343276249770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343276251279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343276252808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1343276258488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343276262377
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343276264895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276266234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276268583
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343276268699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276309684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276355126
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343276356575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343276364866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276365934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276470280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343276472275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343276474678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276475858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343276609248
