what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324042131
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343324044537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324051266
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1343324053931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324061280
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343324064363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324068097
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343324069971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324071506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324074063
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343324074213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324076088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324281543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324287349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324687834
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1343324688086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343324856231
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1343324869321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324870629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343324873872
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1343324874003
